Node List,Node Source
MCU,c2.cp.wikipathways.v2023.2.Hs.symbols
SLC25A4,c2.cp.wikipathways.v2023.2.Hs.symbols
KLC4,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMA3,c2.cp.wikipathways.v2023.2.Hs.symbols
ATG2B,c2.cp.wikipathways.v2023.2.Hs.symbols
IL1B,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMD7,c2.cp.wikipathways.v2023.2.Hs.symbols
PLCB4,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBA8,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBB,c2.cp.wikipathways.v2023.2.Hs.symbols
CSNK1E,c2.cp.wikipathways.v2023.2.Hs.symbols
DVL1,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMB1,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMD1,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMC3,c2.cp.wikipathways.v2023.2.Hs.symbols
ATG2A,c2.cp.wikipathways.v2023.2.Hs.symbols
CDK5R1,c2.cp.wikipathways.v2023.2.Hs.symbols
ATP2A2,c2.cp.wikipathways.v2023.2.Hs.symbols
PPIF,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMC5,c2.cp.wikipathways.v2023.2.Hs.symbols
NOX4,c2.cp.wikipathways.v2023.2.Hs.symbols
WIPI1,c2.cp.wikipathways.v2023.2.Hs.symbols
NCSTN,c2.cp.wikipathways.v2023.2.Hs.symbols
RYR3,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD7,c2.cp.wikipathways.v2023.2.Hs.symbols
CALML6,c2.cp.wikipathways.v2023.2.Hs.symbols
GAPDH,c2.cp.wikipathways.v2023.2.Hs.symbols
TUBA3E,c2.cp.wikipathways.v2023.2.Hs.symbols
PPP3CB,c2.cp.wikipathways.v2023.2.Hs.symbols
GPR83,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMB2,c2.cp.wikipathways.v2023.2.Hs.symbols
PLCB1,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD2,c2.cp.wikipathways.v2023.2.Hs.symbols
IDE,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMD8,c2.cp.wikipathways.v2023.2.Hs.symbols
KIF5B,c2.cp.wikipathways.v2023.2.Hs.symbols
NOS1,c2.cp.wikipathways.v2023.2.Hs.symbols
WNT11,c2.cp.wikipathways.v2023.2.Hs.symbols
AXIN1,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMA2,c2.cp.wikipathways.v2023.2.Hs.symbols
WNT2,c2.cp.wikipathways.v2023.2.Hs.symbols
PSMD6,c2.cp.wikipathways.v2023.2.Hs.symbols
