Node List,Node Source
LITAF,h.all.v2023.2.Hs.symbols
DRAM1,h.all.v2023.2.Hs.symbols
NFKBIE,h.all.v2023.2.Hs.symbols
ATP2B1,h.all.v2023.2.Hs.symbols
PLEK,h.all.v2023.2.Hs.symbols
FJX1,h.all.v2023.2.Hs.symbols
SIK1,h.all.v2023.2.Hs.symbols
RELB,h.all.v2023.2.Hs.symbols
TANK,h.all.v2023.2.Hs.symbols
IFNGR2,h.all.v2023.2.Hs.symbols
TUBB2A,h.all.v2023.2.Hs.symbols
OLR1,h.all.v2023.2.Hs.symbols
SPSB1,h.all.v2023.2.Hs.symbols
TGIF1,h.all.v2023.2.Hs.symbols
JUNB,h.all.v2023.2.Hs.symbols
CXCL6,h.all.v2023.2.Hs.symbols
ACKR3,h.all.v2023.2.Hs.symbols
PANX1,h.all.v2023.2.Hs.symbols
IL18,h.all.v2023.2.Hs.symbols
RHOB,h.all.v2023.2.Hs.symbols
IER2,h.all.v2023.2.Hs.symbols
MAFF,h.all.v2023.2.Hs.symbols
SLC16A6,h.all.v2023.2.Hs.symbols
CLCF1,h.all.v2023.2.Hs.symbols
DENND5A,h.all.v2023.2.Hs.symbols
IFIH1,h.all.v2023.2.Hs.symbols
MSC,h.all.v2023.2.Hs.symbols
KYNU,h.all.v2023.2.Hs.symbols
PDLIM5,h.all.v2023.2.Hs.symbols
FOSL1,h.all.v2023.2.Hs.symbols
REL,h.all.v2023.2.Hs.symbols
BCL6,h.all.v2023.2.Hs.symbols
BTG1,h.all.v2023.2.Hs.symbols
TNC,h.all.v2023.2.Hs.symbols
RIGI,h.all.v2023.2.Hs.symbols
SERPINB8,h.all.v2023.2.Hs.symbols
IL12B,h.all.v2023.2.Hs.symbols
KDM6B,h.all.v2023.2.Hs.symbols
TAP1,h.all.v2023.2.Hs.symbols
IRS2,h.all.v2023.2.Hs.symbols
NFKB2,h.all.v2023.2.Hs.symbols
PFKFB3,h.all.v2023.2.Hs.symbols
EDN1,h.all.v2023.2.Hs.symbols
LAMB3,h.all.v2023.2.Hs.symbols
F3,h.all.v2023.2.Hs.symbols
PDE4B,h.all.v2023.2.Hs.symbols
BTG2,h.all.v2023.2.Hs.symbols
CXCL11,h.all.v2023.2.Hs.symbols
CEBPB,h.all.v2023.2.Hs.symbols
IL1A,h.all.v2023.2.Hs.symbols
TNFSF9,h.all.v2023.2.Hs.symbols
PHLDA1,h.all.v2023.2.Hs.symbols
NR4A3,h.all.v2023.2.Hs.symbols
MXD1,h.all.v2023.2.Hs.symbols
ZBTB10,h.all.v2023.2.Hs.symbols
SMAD3,h.all.v2023.2.Hs.symbols
DNAJB4,h.all.v2023.2.Hs.symbols
CEBPD,h.all.v2023.2.Hs.symbols
NFE2L2,h.all.v2023.2.Hs.symbols
TNFAIP8,h.all.v2023.2.Hs.symbols
CXCL1,h.all.v2023.2.Hs.symbols
LDLR,h.all.v2023.2.Hs.symbols
CCNL1,h.all.v2023.2.Hs.symbols
BID,h.all.v2023.2.Hs.symbols
GUCY2D,h.all.v2023.2.Hs.symbols
